RASSF1,RASSF2,RASSF3,RASSF4,RASSF5,RASSF6,RASSF7,RASSF8,RASSF9,RASSF10,Sample,Patient_ID
682.973,276.576,356.538,989.652,44.2145,0,259.642,327.375,0,0.9407,TCGA-D3-A8GR-06,TCGA-D3-A8GR
752.623,318.691,1051.4,1646.1,1190.11,12.0932,391.962,577.628,0,32.7227,TCGA-D3-A8GS-06,TCGA-D3-A8GS
528.049,216.98,636.347,119.435,214.292,0.384,296.86,630.202,13.4412,0.7681,TCGA-D3-A8GV-06,TCGA-D3-A8GV
429.912,3382.18,2139.61,540.103,189.241,0,262.55,643.589,1.989,0.2841,TCGA-D9-A148-06,TCGA-D9-A148
1249,551.102,2863.29,366.074,355.19,4.5129,162.464,648.792,1.3273,0.2655,TCGA-D9-A149-06,TCGA-D9-A149
498.741,4401.39,1210.46,763.613,695.541,1.3479,161.08,202.192,1.6849,1.6849,TCGA-D9-A1JW-06,TCGA-D9-A1JW
702.062,1107.56,919.244,1412.04,621.649,0.6873,96.9072,532.99,0.6873,5.4983,TCGA-D9-A1JX-06,TCGA-D9-A1JX
873.656999999999,238.216,1533.31,81.2983,23.6124,2.69,189.198,1330.06,2.9889,1.1956,TCGA-D9-A1X3-06,TCGA-D9-A1X3
673.593,908.379,845.23,1435.56,681.689,16.1921,191.067,913.777,1.0795,0.5397,TCGA-D9-A3Z1-06,TCGA-D9-A3Z1
480.504,3118.24,1733.27,755.584,675.011,9.7253,181.9,403.422,2.8816,0,TCGA-D9-A3Z3-06,TCGA-D9-A3Z3
556.757,785.328,379.923,623.552,342.085,1.5444,116.602,446.718,3.861,5.4054,TCGA-D9-A3Z4-01,TCGA-D9-A3Z4
472.195,537.462,637.363,431.235,233.1,0.999,361.971,499.834,3.996,4.662,TCGA-D9-A4Z2-01,TCGA-D9-A4Z2
506.454,100.088,556.283,377.585,358.685,0,81.6169,969.523,0.4296,1.7182,TCGA-D9-A4Z3-01,TCGA-D9-A4Z3
706.851,483.096,1701.96,605.427,112.1,0,177.491,1300.71,0,1.3345,TCGA-D9-A4Z5-01,TCGA-D9-A4Z5
199.8,757.243,887.113,148.352,84.4156,0,85.9141,856.643,15.4845,5.994,TCGA-D9-A4Z6-06,TCGA-D9-A4Z6
579.019,925.068,495.005,1875.11,1588.1,0.4541,346.503,117.166,0,7.7203,TCGA-D9-A6E9-06,TCGA-D9-A6E9
679.587,2155.78,748.985,220.746,115.91,0,311.554,706.534,0.7383,2.2148,TCGA-D9-A6EA-06,TCGA-D9-A6EA
632.932,396.226,335.12,172.706,57.2469,0.6432,471.483,789.236,1.9297,0,TCGA-D9-A6EC-06,TCGA-D9-A6EC
344.762,1003.32,1154.32,120.097,82.2827,0,208.214,1399.1,2.0644,15.3358,TCGA-D9-A6EG-06,TCGA-D9-A6EG
505.079,685.134,837.489,1657.89,654.201,3.6934,225.762,851.339,1.8467,3.2318,TCGA-DA-A1HV-06,TCGA-DA-A1HV
415.032,3738.72,1613.06,1029.45,964.986,3.4229,115.81,1039.72,15.4033,0.8557,TCGA-DA-A1HW-06,TCGA-DA-A1HW
721.132,156.941,134.591,415.197,77.477,1.9866,269.928,2416.19,67.7924,0.4966,TCGA-DA-A1HY-06,TCGA-DA-A1HY
714.775,2850.72,342.346,621.771,378.903,0,685.453,91.0129,0.3808,0,TCGA-DA-A1I0-06,TCGA-DA-A1I0
631.041,878.307,625.75,1287.83,708.289,0.7055,154.497,424.339,3.1746,1.7637,TCGA-DA-A1I1-06,TCGA-DA-A1I1
429.173,10348.3,571.763,1129.02,177.887,0.935,98.878,997.663,62.1786,12.8565,TCGA-DA-A1I2-06,TCGA-DA-A1I2
780.196,878.491,561.117,671.019,308.306,0.7254,76.5325,721.074,14.1458,0,TCGA-DA-A1I4-06,TCGA-DA-A1I4
518.143,891.923,347.249,865.985,978.931,2.7312,205.228,842.762,6.6329,1.1705,TCGA-DA-A1I5-06,TCGA-DA-A1I5
286.154,172.308,171.282,224.274,264.957,0.3419,112.479,4313.16,119.658,4.1026,TCGA-DA-A1I7-06,TCGA-DA-A1I7
543.973,225.413,196.228,445.859,176.667,0.3105,303.966,1312.43,7.1412,0,TCGA-DA-A1I8-06,TCGA-DA-A1I8
540.993,1137.45,887.422,114.009,115.33,0.4402,474.964,61.6265,0,13.6459,TCGA-DA-A1IA-06,TCGA-DA-A1IA
727.44,2545.58,870.905,3319,2671.57,40.9242,299.345,657.087,10.5759,3.6786,TCGA-DA-A1IB-06,TCGA-DA-A1IB
721.218999999999,186.923,776.574,1869.63,381.468,2.0056,168.071,1975.93,8.0225,0.4011,TCGA-DA-A1IC-06,TCGA-DA-A1IC
1617.47,2098.39,207.831,3037.15,2689.76,5.0201,398.594,61.245,2.008,0,TCGA-DA-A3F2-06,TCGA-DA-A3F2
400.462,1255.05,1017.6,303.808,190.421,0.8656,137.334,675.418,3.4622,2.5967,TCGA-DA-A3F3-06,TCGA-DA-A3F3
614.715,189.082,125.396,301.029,183.544,0,395.174,3633.7,28.481,0,TCGA-DA-A3F5-06,TCGA-DA-A3F5
1082.83,1245.91,779.133,2189.09,1622.79,2.5682,340.931,1021.19,6.0995,10.9149,TCGA-DA-A3F8-06,TCGA-DA-A3F8
1836.51,1078.43,1092.36,627.272,451.003,2.653,451.003,309.07,2.653,14.5913,TCGA-DA-A95V-06,TCGA-DA-A95V
646.172,170.678,684.712,468.482,144.15,0,270.782,761.792,1.5016,0,TCGA-DA-A95W-06,TCGA-DA-A95W
609.421,1875.7,384.691,854.433,202.486,0.3271,291.135,920.183000000001,0.9814,0,TCGA-DA-A95X-06,TCGA-DA-A95X
493.267,189.526,656.858,206.823,100.249,0,383.042,407.481,0.4988,3.4913,TCGA-DA-A95Y-06,TCGA-DA-A95Y
657.514,730.491,704.48,473.988,77.3121,0,394.509,774.567,0,0,TCGA-DA-A95Z-06,TCGA-DA-A95Z
527.293,1520.95,248.814,391.261,181.466,2.138,203.915,466.894,3.2071,5.8796,TCGA-EB-A1NK-01,TCGA-EB-A1NK
425.72,2170.23,2614.2,114.617,82.9769,5.7029,118.905,1135.73,4.2772,9.6949,TCGA-EB-A24C-01,TCGA-EB-A24C
785.333,1700.81,1612.67,305.733,173.868,13.0831,109.83,575.314,1.7215,9.9845,TCGA-EB-A24D-01,TCGA-EB-A24D
944.896,564.102,212.149,562.636,901.391,20.0418,638.404,367.595,24.4412,93.8541,TCGA-EB-A299-01,TCGA-EB-A299
620.67,534.402,396.221,322.932,571.047,3.0537,446.608,225.976,13.7418,100.391,TCGA-EB-A3HV-01,TCGA-EB-A3HV
774.971,546.055,764.089,707.346,205.597,1.5546,106.102,1353.28,1.5546,0.7773,TCGA-EB-A3XB-01,TCGA-EB-A3XB
866.085,2189.84,386.352,320.677,273.474,5.1308,521.806,613.135,3.0785,13.3402,TCGA-EB-A3XC-01,TCGA-EB-A3XC
957.5,1522.5,768.75,412.5,1577.5,9.375,493.125,108.75,40,148.75,TCGA-EB-A3XD-01,TCGA-EB-A3XD
977.416,1017.86,239.496,662.815,421.744,1.5756,362.395,161.239,1.5756,27.3109,TCGA-EB-A3XE-01,TCGA-EB-A3XE
625.534,1076.77,561.596,619.369,171.452,2.8507,174.71,566.891,9.3667,8.9595,TCGA-EB-A3XF-01,TCGA-EB-A3XF
719.612,979.12,636.465,605.891,294.183,0.7457,184.937,523.49,1.8643,4.1014,TCGA-EB-A3Y6-01,TCGA-EB-A3Y6
976.815,81.2631,131.016,455.361,53.0698,0,256.504,149.811,0.5528,3.8697,TCGA-EB-A3Y7-01,TCGA-EB-A3Y7
1039.3,615.14,612.54,293.557,51.4302,2.8893,380.815,1056.05,0.2889,2.0225,TCGA-EB-A41A-01,TCGA-EB-A41A
543.952,125.5,968.447,290.065,94.2138,0,215.803,589.814,1.7776,0.3555,TCGA-EB-A41B-01,TCGA-EB-A41B
1093.86,174.915,537.827,272.73,80.2048,0.8532,192.264,1007.96,0.2844,2.5597,TCGA-EB-A42Y-01,TCGA-EB-A42Y
492.412,646.432,471.101,371.531,99.4511,0,379.077,778.172,0.9687,10.6555,TCGA-EB-A42Z-01,TCGA-EB-A42Z
806.109,2676.85,1030.87,472.347,100.643,0,269.132,729.582,0,0.9646,TCGA-EB-A430-01,TCGA-EB-A430
272.292,3384.08,1259.68,151.805,129.187,0,270.117,1663.33,0.435,0.435,TCGA-EB-A431-01,TCGA-EB-A431
646.235,755.4,479.86,409.224,971.395,33.8587,429.656,554.583,23.3508,85.8144,TCGA-EB-A44N-01,TCGA-EB-A44N
685.995,299.315,936.339,170.347,132.419,1.9589,230.363,2650.74,1.9589,6.2684,TCGA-EB-A44O-01,TCGA-EB-A44O
653.327,264.898,424.532,318.834,157.025,0.435,274.467,1238.8,12.1792,9.1344,TCGA-EB-A44P-01,TCGA-EB-A44P
526.422,3937.88,528.842,1379.99,697.459,0.8068,270.674,1241.63,26.6236,0.8068,TCGA-EB-A44Q-06,TCGA-EB-A44Q
619.858,456.883,386.076,876.349,503.165,1.1867,122.231,508.702,4.7468,9.0981,TCGA-EB-A44R-06,TCGA-EB-A44R
617.551,479.243,509.511,147.136,552.391,4.2039,402.733,398.949,8.8282,33.631100000000004,TCGA-EB-A4IQ-01,TCGA-EB-A4IQ
1078.69,1587.68,560.252,1335.73,946.721,38.5378,354.838,913.273,3.9992,5.0899,TCGA-EB-A4IS-01,TCGA-EB-A4IS
947.348999999999,353.829,94.8227,308.806,143.99,0,252.861,94.8227,0.878,5.2679,TCGA-EB-A4OY-01,TCGA-EB-A4OY
1381.71,438.874,17.5901,2466.14,1109.94,1.759,1068.6,85.3122,0.8795,107.3,TCGA-EB-A4OZ-01,TCGA-EB-A4OZ
741.6,961.083,255.741,423.012,93.7878,0,318.105,464.588,3.3841,0.9669,TCGA-EB-A4P0-01,TCGA-EB-A4P0
799.634,1476.67,871.911999999999,361.848,470.265,11.4364,350.869,806.953,41.1711,21.9579,TCGA-EB-A4XL-01,TCGA-EB-A4XL
671.177,1131.26,825.891,1713.13,804.24,11.7276,218.764,262.968,2.2553,0.9021,TCGA-EB-A551-01,TCGA-EB-A551
925.816,968.348,575.668,889.169,161.226,0.9891,765.579,171.118,3.9565,7.913,TCGA-EB-A553-01,TCGA-EB-A553
1340.07,3263.77,819.101,326.933,378.979,3.5371,670.035,162.203,6.0637,49.0147,TCGA-EB-A57M-01,TCGA-EB-A57M
1184.11,1229.98,961.117,98.2519,70.7876,2.6587,311.731,1219.01,1.6617,7.6437,TCGA-EB-A5FP-01,TCGA-EB-A5FP
624.77,400.368,941.754,54.5677,130.595,0,168.608,528.51,0.6131,0,TCGA-EB-A5KH-06,TCGA-EB-A5KH
936.037,1795.76,1277.1,391.638,63.6563,1.0851,228.222,392.788,7.2337,20.9776,TCGA-EB-A5SE-01,TCGA-EB-A5SE
824.779,1236.77,176.221,110.118,836.849,0,751.554,89.3175,4.0233,150.472,TCGA-EB-A5SF-01,TCGA-EB-A5SF
926.198999999999,1578.81,593.569,3024.25,1580.92,8.4344,366.368,472.852,2.1086,0.5271,TCGA-EB-A5SG-06,TCGA-EB-A5SG
2326.11,261.094,1088.24,109.391,303.406,0,245.614,357.585,4.644,19.0918,TCGA-EB-A5SH-06,TCGA-EB-A5SH
524.809,1152.67,871.374,896.565,487.786,13.3588,252.672,769.083999999999,3.0534,0.7634,TCGA-EB-A5UL-06,TCGA-EB-A5UL
1361.16,1211.65,746.278,605.178,456.958,1.2945,500.971,195.469,1.9417,4.5307,TCGA-EB-A5UM-01,TCGA-EB-A5UM
426.608,372.505,612.417,202.217,279.379,0,142.35,2363.64,1.3304,0.4435,TCGA-EB-A5UN-06,TCGA-EB-A5UN
1139.79,237.206,1042.97,297.177,232.18,9.7161,82.754,1262.42,9.381,8.0409,TCGA-EB-A5VU-01,TCGA-EB-A5VU
1534.1,4352.27,363.371,1390.97,5143.27,67.7669,740.178,113.334,19.2785,1.1684,TCGA-EB-A5VV-06,TCGA-EB-A5VV
1178.47,2890.2,527.122,1003.23,1852.01,4.251,328.743,162.01,4.7233,0,TCGA-EB-A6L9-06,TCGA-EB-A6L9
339.655,814.417,1062.74,228.486,335.881,12.0766,284.555,861.968000000001,6.7931,19.6245,TCGA-EB-A6QY-01,TCGA-EB-A6QY
569.306,866.848999999999,661.496,249.918,100.492,0,217.586,191.808,3.9323,6.9907,TCGA-EB-A6QZ-01,TCGA-EB-A6QZ
626.067,527.905,2687.79,544.649,314.511,0.6566,249.508,1302.04,0,3.6113,TCGA-EB-A6R0-01,TCGA-EB-A6R0
571.118,116.11,1096.52,384.474,59.5065,0.3628,243.106,887.518,0.3628,2.1771,TCGA-EE-A17X-06,TCGA-EE-A17X
454.323,220.993,161.118,284.133,330.944,0,269.255,1774.83,11.975,8.7091,TCGA-EE-A17Y-06,TCGA-EE-A17Y
333.582,336.932,595.309,60.3127,28.2949,0.7446,35.7409,498.139,1.1169,39.0916,TCGA-EE-A17Z-06,TCGA-EE-A17Z
1488.18,429.394,2363.03,102.161,105.454,0,142.424,838.788,2.1212,4.5455,TCGA-EE-A180-06,TCGA-EE-A180
